route_id,route_name,mode,district,year_month,total_boardings,total_revenue,boardings_per_km,avg_load_factor
R047,Skinner Parkways Line,Bus,Old Town,2024-01,195.0,363.99,17.26,0.0131
R004,Brittany Bypass Line,Tram,Northgate,2024-01,194.0,355.83,11.02,0.0053
R006,Anna Stravenue Line,Metro,Parkview,2024-01,194.0,362.34,10.6,0.0019
R033,Julie Plain Line,Bus,Unknown,2024-01,194.0,363.1,35.93,0.0129
R024,Frank Light Line,Metro,Hillcrest,2024-01,193.0,370.36,8.18,0.0018
R050,Carol Overpass Line,Bus,Centro,2024-01,193.0,334.3,8.81,0.0133
R055,David Mountains Line,Tram,Harbourside,2024-01,193.0,334.53,8.21,0.0051
R022,Elizabeth Squares Line,Bus,Parkview,2024-01,192.0,348.13,9.85,0.0139
R040,Maddox Wall Line,Tram,Southbank,2024-01,192.0,347.68,8.61,0.0052
R002,Jeffrey Street Line,Bus,Unknown,2024-01,190.0,351.57,15.08,0.0135
R012,Michael Key Line,Metro,Eastfield,2024-01,189.0,326.63,48.46,0.0019
R008,Pacheco Avenue Line,Tram,Old Town,2024-01,183.0,330.6,20.8,0.0052
R019,Michelle Light Line,Tram,Northgate,2024-01,182.0,350.08,11.52,0.0054
R043,Kelly Estate Line,Tram,Parkview,2024-01,182.0,330.75,8.43,0.0053
R058,Jennifer Locks Line,Bus,Parkview,2024-01,182.0,329.94,14.44,0.0141
R023,Chelsea Extension Line,Metro,Westend,2024-01,172.0,326.34,8.6,0.0017
R043,Kelly Estate Line,Tram,Parkview,2024-02,232.0,434.7,10.74,0.0053
R048,Eric Track Line,Bus,Eastfield,2024-02,222.0,400.48,21.76,0.0143
R002,Jeffrey Street Line,Bus,Unknown,2024-02,218.0,385.53,17.3,0.0133
R014,Herrera Lane Line,Tram,Harbourside,2024-02,218.0,407.9,62.29,0.0055
R025,Mayo Route Line,Tram,Southbank,2024-02,217.0,396.14,31.45,0.0056
R054,Tiffany Place Line,Tram,Centro,2024-02,217.0,398.51,14.97,0.0054
R049,Amber Tunnel Line,Tram,Eastfield,2024-02,216.0,410.17,14.69,0.0055
R018,Galloway Walk Line,Bus,Eastfield,2024-02,215.0,400.42,12.29,0.0134
R051,Daniel Lake Line,Bus,Centro,2024-02,215.0,376.68,43.88,0.014
R024,Frank Light Line,Metro,Hillcrest,2024-02,214.0,413.35,9.07,0.0019
R034,Burgess Meadow Line,Bus,Old Town,2024-02,213.0,381.26,9.64,0.0141
R041,Erin Crescent Line,Bus,Northgate,2024-02,211.0,381.68,24.82,0.0139
R042,Mack Junctions Line,Tram,Centro,2024-02,210.0,374.81,40.38,0.0055
R008,Pacheco Avenue Line,Tram,Old Town,2024-02,209.0,382.91,23.75,0.0055
R007,Robinson Radial Line,Tram,Old Town,2024-02,206.0,385.13,13.04,0.0055
R029,Robin Port Line,Bus,Hillcrest,2024-02,206.0,394.02,36.14,0.0132
R047,Skinner Parkways Line,Bus,Old Town,2024-02,203.0,385.92,17.96,0.0144
R058,Jennifer Locks Line,Bus,Parkview,2024-02,202.0,389.92,16.03,0.014
R056,Joseph Well Line,Tram,Harbourside,2024-02,200.0,361.53,10.0,0.0055
R050,Carol Overpass Line,Bus,Centro,2024-02,199.0,378.07,9.09,0.014
R060,Martinez Fork Line,Bus,Centro,2024-02,199.0,354.08,35.54,0.0135
R028,Morales Circles Line,Bus,Parkview,2024-02,198.0,354.68,26.76,0.0138
R053,Christopher Oval Line,Tram,Riverside,2024-02,198.0,356.77,38.82,0.0052
R021,Martin Knoll Line,Tram,Westend,2024-02,197.0,370.26,8.35,0.0056
R010,Moore Track Line,Bus,Hillcrest,2024-02,196.0,375.6,12.48,0.0134
R016,Ray Squares Line,Bus,Westend,2024-02,196.0,364.25,19.03,0.0135
R015,Andrea Village Line,Bus,Hillcrest,2024-02,195.0,389.9,14.23,0.014
R013,Roman Stream Line,Bus,Northgate,2024-02,193.0,358.69,12.14,0.0131
R022,Elizabeth Squares Line,Bus,Parkview,2024-02,193.0,358.82,9.9,0.0133
R055,David Mountains Line,Tram,Harbourside,2024-02,193.0,337.86,8.21,0.0056
R035,Cox Dam Line,Bus,Old Town,2024-02,191.0,349.93,11.04,0.0139
R001,Angel Harbor Line,Tram,Harbourside,2024-02,190.0,313.61,9.6,0.0053
R031,Wilkerson Row Line,Tram,Centro,2024-02,189.0,343.86,11.18,0.0055
R036,Davis Causeway Line,Bus,Riverside,2024-02,189.0,332.58,9.0,0.0134
R039,Carlson Mountain Line,Bus,Centro,2024-02,189.0,327.14,45.0,0.0121
R052,Allen Garden Line,Bus,Northgate,2024-02,189.0,351.34,9.36,0.013
R040,Maddox Wall Line,Tram,Southbank,2024-02,188.0,342.11,8.43,0.0053
R044,Smith Stravenue Line,Bus,Westend,2024-02,188.0,325.11,9.35,0.0139
R027,Jeremy Bypass Line,Bus,Centro,2024-02,187.0,348.49,31.69,0.0131
R003,Erica Plains Line,Metro,Southbank,2024-02,186.0,375.9,43.26,0.0018
R005,Clayton Fort Line,Bus,Unknown,2024-02,186.0,330.73,37.2,0.0135
R004,Brittany Bypass Line,Tram,Northgate,2024-02,184.0,336.78,10.45,0.0054
R032,Thomas Dam Line,Metro,Centro,2024-02,183.0,334.41,7.79,0.0018
R017,Brandon Forks Line,Bus,Centro,2024-02,182.0,317.87,8.02,0.0122
R033,Julie Plain Line,Bus,Unknown,2024-02,182.0,347.68,33.7,0.013
R046,William Coves Line,Tram,Centro,2024-02,182.0,339.42,14.92,0.0057
R023,Chelsea Extension Line,Metro,Westend,2024-02,181.0,314.06,9.05,0.0018
R030,Lewis Parks Line,Tram,Northgate,2024-02,181.0,342.5,7.54,0.0058
R009,Helen Junctions Line,Bus,Hillcrest,2024-02,180.0,347.23,14.29,0.0139
R011,Garcia Light Line,Bus,Hillcrest,2024-02,180.0,322.49,14.4,0.0143
R019,Michelle Light Line,Tram,Northgate,2024-02,180.0,334.58,11.39,0.0054
R037,Eric Estate Line,Bus,Westend,2024-02,179.0,330.47,8.48,0.0128
R059,Kim Path Line,Bus,Westend,2024-02,179.0,352.51,8.86,0.0134
R020,Chavez Village Line,Bus,Old Town,2024-02,178.0,334.37,17.8,0.0128
R057,Brandt Plains Line,Bus,Southbank,2024-02,176.0,320.42,19.56,0.0129
R045,Stanton Track Line,Tram,Westend,2024-02,173.0,325.73,13.11,0.0053
R026,Gabrielle Ville Line,Bus,Riverside,2024-02,162.0,328.48,6.64,0.0128
R038,Carlson Lights Line,Bus,Westend,2024-02,159.0,292.07,24.84,0.0136
R012,Michael Key Line,Metro,Eastfield,2024-02,155.0,287.39,39.74,0.0018
R006,Anna Stravenue Line,Metro,Parkview,2024-02,149.0,296.07,8.14,0.0016
R053,Christopher Oval Line,Tram,Riverside,2024-03,254.0,482.98,49.8,0.0058
R015,Andrea Village Line,Bus,Hillcrest,2024-03,243.0,445.2,17.74,0.0141
R019,Michelle Light Line,Tram,Northgate,2024-03,230.0,412.0,14.56,0.0056
R003,Erica Plains Line,Metro,Southbank,2024-03,228.0,408.9,53.02,0.0019
R047,Skinner Parkways Line,Bus,Old Town,2024-03,228.0,429.12,20.18,0.0133
R039,Carlson Mountain Line,Bus,Centro,2024-03,227.0,428.99,54.05,0.0137
R038,Carlson Lights Line,Bus,Westend,2024-03,226.0,412.96,35.31,0.0134
R044,Smith Stravenue Line,Bus,Westend,2024-03,225.0,425.13,11.19,0.014
R002,Jeffrey Street Line,Bus,Unknown,2024-03,224.0,418.54,17.78,0.0141
R045,Stanton Track Line,Tram,Westend,2024-03,223.0,412.59,16.89,0.0056
R040,Maddox Wall Line,Tram,Southbank,2024-03,221.0,400.92,9.91,0.0055
R009,Helen Junctions Line,Bus,Hillcrest,2024-03,220.0,396.5,17.46,0.0139
R032,Thomas Dam Line,Metro,Centro,2024-03,220.0,419.41,9.36,0.0018
R046,William Coves Line,Tram,Centro,2024-03,220.0,412.5,18.03,0.0056
R025,Mayo Route Line,Tram,Southbank,2024-03,219.0,421.09,31.74,0.0053
R043,Kelly Estate Line,Tram,Parkview,2024-03,219.0,400.83,10.14,0.0055
R008,Pacheco Avenue Line,Tram,Old Town,2024-03,217.0,416.17,24.66,0.0054
R027,Jeremy Bypass Line,Bus,Centro,2024-03,217.0,380.57,36.78,0.0135
R036,Davis Causeway Line,Bus,Riverside,2024-03,216.0,380.05,10.29,0.0132
R056,Joseph Well Line,Tram,Harbourside,2024-03,215.0,381.52,10.75,0.0054
R007,Robinson Radial Line,Tram,Old Town,2024-03,214.0,395.79,13.54,0.0054
R029,Robin Port Line,Bus,Hillcrest,2024-03,214.0,404.27,37.54,0.014
R004,Brittany Bypass Line,Tram,Northgate,2024-03,210.0,384.46,11.93,0.0051
R005,Clayton Fort Line,Bus,Unknown,2024-03,210.0,392.32,42.0,0.0137
R048,Eric Track Line,Bus,Eastfield,2024-03,210.0,379.21,20.59,0.0139
R014,Herrera Lane Line,Tram,Harbourside,2024-03,209.0,399.91,59.71,0.0051
R037,Eric Estate Line,Bus,Westend,2024-03,209.0,372.48,9.91,0.0133
R024,Frank Light Line,Metro,Hillcrest,2024-03,207.0,373.43,8.77,0.0018
R028,Morales Circles Line,Bus,Parkview,2024-03,207.0,403.02,27.97,0.0133
R060,Martinez Fork Line,Bus,Centro,2024-03,206.0,377.44,36.79,0.0139
R016,Ray Squares Line,Bus,Westend,2024-03,205.0,379.15,19.9,0.0135
R022,Elizabeth Squares Line,Bus,Parkview,2024-03,205.0,366.69,10.51,0.0132
R006,Anna Stravenue Line,Metro,Parkview,2024-03,204.0,369.5,11.15,0.0018
R013,Roman Stream Line,Bus,Northgate,2024-03,204.0,382.45,12.83,0.0141
R052,Allen Garden Line,Bus,Northgate,2024-03,204.0,385.88,10.1,0.0134
R054,Tiffany Place Line,Tram,Centro,2024-03,204.0,378.93,14.07,0.0054
R018,Galloway Walk Line,Bus,Eastfield,2024-03,202.0,356.87,11.54,0.0142
R021,Martin Knoll Line,Tram,Westend,2024-03,202.0,373.62,8.56,0.0054
R051,Daniel Lake Line,Bus,Centro,2024-03,202.0,387.13,41.22,0.0142
R017,Brandon Forks Line,Bus,Centro,2024-03,200.0,348.81,8.81,0.0138
R030,Lewis Parks Line,Tram,Northgate,2024-03,199.0,375.36,8.29,0.0056
R031,Wilkerson Row Line,Tram,Centro,2024-03,197.0,368.41,11.66,0.0053
R041,Erin Crescent Line,Bus,Northgate,2024-03,197.0,362.23,23.18,0.0133
R034,Burgess Meadow Line,Bus,Old Town,2024-03,196.0,375.79,8.87,0.0132
R057,Brandt Plains Line,Bus,Southbank,2024-03,196.0,352.67,21.78,0.013
R049,Amber Tunnel Line,Tram,Eastfield,2024-03,194.0,339.56,13.2,0.0054
R010,Moore Track Line,Bus,Hillcrest,2024-03,193.0,344.74,12.29,0.0137
R026,Gabrielle Ville Line,Bus,Riverside,2024-03,192.0,350.18,7.87,0.0128
R011,Garcia Light Line,Bus,Hillcrest,2024-03,190.0,336.43,15.2,0.0138
R055,David Mountains Line,Tram,Harbourside,2024-03,189.0,349.69,8.04,0.0054
R001,Angel Harbor Line,Tram,Harbourside,2024-03,188.0,335.63,9.49,0.0053
R012,Michael Key Line,Metro,Eastfield,2024-03,188.0,346.27,48.21,0.0017
R059,Kim Path Line,Bus,Westend,2024-03,187.0,337.25,9.26,0.0136
R020,Chavez Village Line,Bus,Old Town,2024-03,186.0,330.82,18.6,0.0132
R035,Cox Dam Line,Bus,Old Town,2024-03,186.0,329.9,10.75,0.0137
R033,Julie Plain Line,Bus,Unknown,2024-03,185.0,339.31,34.26,0.014
R050,Carol Overpass Line,Bus,Centro,2024-03,176.0,306.8,8.04,0.0138
R058,Jennifer Locks Line,Bus,Parkview,2024-03,175.0,309.96,13.89,0.013
R042,Mack Junctions Line,Tram,Centro,2024-03,174.0,318.62,33.46,0.0052
R023,Chelsea Extension Line,Metro,Westend,2024-03,171.0,267.23,8.55,0.0019
R019,Michelle Light Line,Tram,Northgate,2024-04,226.0,432.89,14.3,0.0054
R026,Gabrielle Ville Line,Bus,Riverside,2024-04,224.0,415.01,9.18,0.0135
R011,Garcia Light Line,Bus,Hillcrest,2024-04,223.0,394.73,17.84,0.0135
R007,Robinson Radial Line,Tram,Old Town,2024-04,221.0,417.43,13.99,0.0054
R014,Herrera Lane Line,Tram,Harbourside,2024-04,216.0,388.25,61.71,0.0057
R032,Thomas Dam Line,Metro,Centro,2024-04,215.0,387.05,9.15,0.0019
R043,Kelly Estate Line,Tram,Parkview,2024-04,212.0,383.76,9.81,0.0056
R048,Eric Track Line,Bus,Eastfield,2024-04,212.0,417.25,20.78,0.0124
R050,Carol Overpass Line,Bus,Centro,2024-04,212.0,374.46,9.68,0.014
R022,Elizabeth Squares Line,Bus,Parkview,2024-04,210.0,398.01,10.77,0.0138
R015,Andrea Village Line,Bus,Hillcrest,2024-04,208.0,373.66,15.18,0.0134
R056,Joseph Well Line,Tram,Harbourside,2024-04,208.0,388.53,10.4,0.0053
R060,Martinez Fork Line,Bus,Centro,2024-04,208.0,352.82,37.14,0.0131
R001,Angel Harbor Line,Tram,Harbourside,2024-04,207.0,383.96,10.45,0.0053
R040,Maddox Wall Line,Tram,Southbank,2024-04,206.0,389.95,9.24,0.0056
R055,David Mountains Line,Tram,Harbourside,2024-04,206.0,358.37,8.77,0.0055
R005,Clayton Fort Line,Bus,Unknown,2024-04,205.0,383.85,41.0,0.0142
R034,Burgess Meadow Line,Bus,Old Town,2024-04,205.0,377.66,9.28,0.0131
R037,Eric Estate Line,Bus,Westend,2024-04,205.0,356.46,9.72,0.013
R012,Michael Key Line,Metro,Eastfield,2024-04,204.0,379.68,52.31,0.0018
R018,Galloway Walk Line,Bus,Eastfield,2024-04,204.0,374.66,11.66,0.013
R010,Moore Track Line,Bus,Hillcrest,2024-04,203.0,376.81,12.93,0.0132
R041,Erin Crescent Line,Bus,Northgate,2024-04,202.0,390.89,23.76,0.0127
R013,Roman Stream Line,Bus,Northgate,2024-04,201.0,370.28,12.64,0.0143
R053,Christopher Oval Line,Tram,Riverside,2024-04,201.0,366.25,39.41,0.0051
R008,Pacheco Avenue Line,Tram,Old Town,2024-04,198.0,364.9,22.5,0.0052
R044,Smith Stravenue Line,Bus,Westend,2024-04,198.0,363.86,9.85,0.0137
R054,Tiffany Place Line,Tram,Centro,2024-04,198.0,361.8,13.66,0.0055
R059,Kim Path Line,Bus,Westend,2024-04,197.0,344.65,9.75,0.0129
R042,Mack Junctions Line,Tram,Centro,2024-04,196.0,364.97,37.69,0.0054
R046,William Coves Line,Tram,Centro,2024-04,196.0,353.06,16.07,0.0056
R002,Jeffrey Street Line,Bus,Unknown,2024-04,195.0,360.28,15.48,0.0128
R025,Mayo Route Line,Tram,Southbank,2024-04,195.0,370.49,28.26,0.0055
R028,Morales Circles Line,Bus,Parkview,2024-04,195.0,389.08,26.35,0.013
R009,Helen Junctions Line,Bus,Hillcrest,2024-04,194.0,349.57,15.4,0.0142
R020,Chavez Village Line,Bus,Old Town,2024-04,193.0,364.79,19.3,0.0131
R039,Carlson Mountain Line,Bus,Centro,2024-04,193.0,355.49,45.95,0.0133
R049,Amber Tunnel Line,Tram,Eastfield,2024-04,193.0,344.54,13.13,0.0053
R051,Daniel Lake Line,Bus,Centro,2024-04,193.0,374.28,39.39,0.0128
R052,Allen Garden Line,Bus,Northgate,2024-04,193.0,362.2,9.55,0.0138
R016,Ray Squares Line,Bus,Westend,2024-04,192.0,353.48,18.64,0.0132
R035,Cox Dam Line,Bus,Old Town,2024-04,192.0,341.64,11.1,0.0132
R033,Julie Plain Line,Bus,Unknown,2024-04,190.0,345.92,35.19,0.0129
R058,Jennifer Locks Line,Bus,Parkview,2024-04,190.0,340.74,15.08,0.0134
R023,Chelsea Extension Line,Metro,Westend,2024-04,189.0,342.8,9.45,0.0019
R057,Brandt Plains Line,Bus,Southbank,2024-04,189.0,351.65,21.0,0.0137
R004,Brittany Bypass Line,Tram,Northgate,2024-04,188.0,367.85,10.68,0.0052
R017,Brandon Forks Line,Bus,Centro,2024-04,187.0,333.79,8.24,0.0129
R047,Skinner Parkways Line,Bus,Old Town,2024-04,186.0,346.38,16.46,0.0131
R038,Carlson Lights Line,Bus,Westend,2024-04,185.0,352.02,28.91,0.0132
R029,Robin Port Line,Bus,Hillcrest,2024-04,184.0,318.25,32.28,0.0128
R030,Lewis Parks Line,Tram,Northgate,2024-04,184.0,333.0,7.67,0.0053
R036,Davis Causeway Line,Bus,Riverside,2024-04,184.0,328.62,8.76,0.0132
R045,Stanton Track Line,Tram,Westend,2024-04,180.0,344.63,13.64,0.0053
R027,Jeremy Bypass Line,Bus,Centro,2024-04,178.0,327.24,30.17,0.0133
R006,Anna Stravenue Line,Metro,Parkview,2024-04,177.0,323.66,9.67,0.0018
R031,Wilkerson Row Line,Tram,Centro,2024-04,176.0,319.72,10.41,0.0052
R003,Erica Plains Line,Metro,Southbank,2024-04,175.0,312.46,40.7,0.0017
R021,Martin Knoll Line,Tram,Westend,2024-04,174.0,304.25,7.37,0.005
R024,Frank Light Line,Metro,Hillcrest,2024-04,164.0,297.5,6.95,0.0018
R037,Eric Estate Line,Bus,Westend,2024-05,240.0,418.76,11.37,0.0137
R005,Clayton Fort Line,Bus,Unknown,2024-05,237.0,448.82,47.4,0.0135
R022,Elizabeth Squares Line,Bus,Parkview,2024-05,235.0,395.97,12.05,0.0139
R015,Andrea Village Line,Bus,Hillcrest,2024-05,233.0,439.45,17.01,0.0141
R050,Carol Overpass Line,Bus,Centro,2024-05,233.0,431.21,10.64,0.014
R020,Chavez Village Line,Bus,Old Town,2024-05,232.0,443.07,23.2,0.0129
R051,Daniel Lake Line,Bus,Centro,2024-05,231.0,398.95,47.14,0.0136
R045,Stanton Track Line,Tram,Westend,2024-05,230.0,441.09,17.42,0.0057
R058,Jennifer Locks Line,Bus,Parkview,2024-05,229.0,400.4,18.17,0.0136
R021,Martin Knoll Line,Tram,Westend,2024-05,227.0,421.87,9.62,0.0056
R027,Jeremy Bypass Line,Bus,Centro,2024-05,227.0,433.37,38.47,0.0133
R046,William Coves Line,Tram,Centro,2024-05,227.0,425.13,18.61,0.0056
R002,Jeffrey Street Line,Bus,Unknown,2024-05,224.0,437.67,17.78,0.0139
R007,Robinson Radial Line,Tram,Old Town,2024-05,224.0,384.1,14.18,0.0055
R032,Thomas Dam Line,Metro,Centro,2024-05,224.0,403.24,9.53,0.0019
R044,Smith Stravenue Line,Bus,Westend,2024-05,224.0,414.75,11.14,0.0131
R043,Kelly Estate Line,Tram,Parkview,2024-05,223.0,414.7,10.32,0.0055
R016,Ray Squares Line,Bus,Westend,2024-05,221.0,406.55,21.46,0.0134
R030,Lewis Parks Line,Tram,Northgate,2024-05,220.0,380.64,9.17,0.0057
R003,Erica Plains Line,Metro,Southbank,2024-05,219.0,402.86,50.93,0.0019
R029,Robin Port Line,Bus,Hillcrest,2024-05,217.0,385.78,38.07,0.0138
R019,Michelle Light Line,Tram,Northgate,2024-05,215.0,391.74,13.61,0.0053
R033,Julie Plain Line,Bus,Unknown,2024-05,215.0,377.35,39.81,0.0133
R031,Wilkerson Row Line,Tram,Centro,2024-05,214.0,386.58,12.66,0.0053
R059,Kim Path Line,Bus,Westend,2024-05,213.0,393.14,10.54,0.0138
R012,Michael Key Line,Metro,Eastfield,2024-05,211.0,378.01,54.1,0.0018
R004,Brittany Bypass Line,Tram,Northgate,2024-05,210.0,377.31,11.93,0.0055
R018,Galloway Walk Line,Bus,Eastfield,2024-05,210.0,367.28,12.0,0.0138
R017,Brandon Forks Line,Bus,Centro,2024-05,208.0,375.15,9.16,0.0137
R057,Brandt Plains Line,Bus,Southbank,2024-05,208.0,378.09,23.11,0.014
R040,Maddox Wall Line,Tram,Southbank,2024-05,207.0,368.46,9.28,0.0054
R014,Herrera Lane Line,Tram,Harbourside,2024-05,206.0,374.54,58.86,0.0055
R042,Mack Junctions Line,Tram,Centro,2024-05,206.0,351.71,39.62,0.0054
R052,Allen Garden Line,Bus,Northgate,2024-05,206.0,407.89,10.2,0.0134
R025,Mayo Route Line,Tram,Southbank,2024-05,205.0,394.27,29.71,0.0054
R026,Gabrielle Ville Line,Bus,Riverside,2024-05,205.0,397.85,8.4,0.0132
R060,Martinez Fork Line,Bus,Centro,2024-05,204.0,369.85,36.43,0.0139
R009,Helen Junctions Line,Bus,Hillcrest,2024-05,203.0,356.36,16.11,0.0132
R041,Erin Crescent Line,Bus,Northgate,2024-05,202.0,363.8,23.76,0.0125
R047,Skinner Parkways Line,Bus,Old Town,2024-05,202.0,355.37,17.88,0.0131
R008,Pacheco Avenue Line,Tram,Old Town,2024-05,201.0,342.36,22.84,0.0051
R048,Eric Track Line,Bus,Eastfield,2024-05,200.0,360.8,19.61,0.0133
R010,Moore Track Line,Bus,Hillcrest,2024-05,199.0,350.99,12.68,0.0134
R038,Carlson Lights Line,Bus,Westend,2024-05,199.0,365.42,31.09,0.0139
R034,Burgess Meadow Line,Bus,Old Town,2024-05,198.0,362.76,8.96,0.0129
R049,Amber Tunnel Line,Tram,Eastfield,2024-05,198.0,361.67,13.47,0.0054
R001,Angel Harbor Line,Tram,Harbourside,2024-05,196.0,346.79,9.9,0.0054
R053,Christopher Oval Line,Tram,Riverside,2024-05,195.0,348.12,38.24,0.0054
R023,Chelsea Extension Line,Metro,Westend,2024-05,193.0,363.3,9.65,0.0018
R006,Anna Stravenue Line,Metro,Parkview,2024-05,192.0,356.96,10.49,0.002
R024,Frank Light Line,Metro,Hillcrest,2024-05,190.0,349.97,8.05,0.0018
R036,Davis Causeway Line,Bus,Riverside,2024-05,190.0,340.2,9.05,0.0133
R039,Carlson Mountain Line,Bus,Centro,2024-05,189.0,359.9,45.0,0.0131
R013,Roman Stream Line,Bus,Northgate,2024-05,188.0,320.7,11.82,0.0138
R035,Cox Dam Line,Bus,Old Town,2024-05,187.0,368.25,10.81,0.013
R011,Garcia Light Line,Bus,Hillcrest,2024-05,186.0,331.63,14.88,0.0135
R055,David Mountains Line,Tram,Harbourside,2024-05,185.0,343.68,7.87,0.0053
R056,Joseph Well Line,Tram,Harbourside,2024-05,182.0,348.98,9.1,0.0053
R054,Tiffany Place Line,Tram,Centro,2024-05,181.0,319.76,12.48,0.0052
R028,Morales Circles Line,Bus,Parkview,2024-05,176.0,324.8,23.78,0.0125
R058,Jennifer Locks Line,Bus,Parkview,2024-06,250.0,471.5,19.84,0.014
R040,Maddox Wall Line,Tram,Southbank,2024-06,244.0,439.17,10.94,0.0054
R021,Martin Knoll Line,Tram,Westend,2024-06,231.0,442.28,9.79,0.0056
R001,Angel Harbor Line,Tram,Harbourside,2024-06,228.0,420.21,11.52,0.0054
R041,Erin Crescent Line,Bus,Northgate,2024-06,226.0,424.51,26.59,0.0139
R005,Clayton Fort Line,Bus,Unknown,2024-06,224.0,425.33,44.8,0.0133
R060,Martinez Fork Line,Bus,Centro,2024-06,220.0,400.8,39.29,0.0137
R032,Thomas Dam Line,Metro,Centro,2024-06,218.0,388.03,9.28,0.0018
R049,Amber Tunnel Line,Tram,Eastfield,2024-06,217.0,389.09,14.76,0.0057
R042,Mack Junctions Line,Tram,Centro,2024-06,216.0,410.79,41.54,0.0057
R054,Tiffany Place Line,Tram,Centro,2024-06,215.0,406.6,14.83,0.0057
R025,Mayo Route Line,Tram,Southbank,2024-06,212.0,374.55,30.72,0.0052
R031,Wilkerson Row Line,Tram,Centro,2024-06,212.0,396.32,12.54,0.0054
R056,Joseph Well Line,Tram,Harbourside,2024-06,211.0,402.63,10.55,0.0054
R002,Jeffrey Street Line,Bus,Unknown,2024-06,210.0,386.07,16.67,0.0145
R003,Erica Plains Line,Metro,Southbank,2024-06,210.0,375.69,48.84,0.0018
R023,Chelsea Extension Line,Metro,Westend,2024-06,206.0,390.26,10.3,0.0017
R010,Moore Track Line,Bus,Hillcrest,2024-06,204.0,384.21,12.99,0.0139
